,Coefs
crime rate,-0.9281460643011958
zone,1.0815686278223835
Industry,0.140899996904286
charles river,0.6817397247777973
nitric oxides,-2.056718266005215
rooms,2.674230165239316
age,0.019466071657047945
distance,-3.1040442580864402
radial highwatys,2.662217642473622
tax rate,-2.07678168384337
ptratio,-2.060606658906762
blacks,0.8492684177053318
lower status,-3.74362712646711
